(1, 5553191371787, 3, 'Don Quixote', 'Tor Books', 250, 'A unique and intriguing book, full of wonders and plot', 3, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'chinese', 'Philosophy, Psychology, Adventure', 13, 77),
(2, 9464600644509, 3, 'Alice's Adventures in Wonderland', 'Grove Atlantic', 705, 'A unique and intriguing book, full of wonders and plot', 4, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'russian', 'History, Horror, Self-improvement', 16, 3),
(3, 4643815722670, 2, 'The Adventures of Huckleberry Finn', 'Random House', 504, 'A unique and intriguing book, full of wonders and plot', 15, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'greek', 'Children's, Environmental, Crime', 16, 11),
(4, 6825122606406, 2, 'The Adventures of Tom Sawyer', 'Penguin Modern Classics', 356, 'A unique and intriguing book, full of wonders and plot', 2, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'french', 'Young adult, Mystery, Classic', 3, 1),
(5, 9160553426574, 1, 'Treasure Island', 'Dark Horse Comics', 942, 'A unique and intriguing book, full of wonders and plot', 5, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'chinese', 'Horror, Romance, History', 6, 73),
(6, 8512408091675, 4, 'Pride and Prejudice', 'St. Martin's Press', 963, 'A unique and intriguing book, full of wonders and plot', 19, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'english', 'Environmental, Business, History', 20, 60),
(7, 4291724473562, 5, 'Wuthering Heights', 'Springer Nature', 334, 'A unique and intriguing book, full of wonders and plot', 0, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'greek', 'Parenting, Children's, Romance', 13, 93),
(8, 5877001828677, 4, 'Jane Eyre', 'Faber & Faber', 333, 'A unique and intriguing book, full of wonders and plot', 15, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'french', 'Self-improvement, Contemporary, Memoir', 17, 85),
(9, 4783236611057, 5, 'Moby Dick', 'Macmillan Publishers', 204, 'A unique and intriguing book, full of wonders and plot', 7, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'chinese', 'Nature, Anthology, Suspense', 7, 36),
(10, 2523287420463, 2, 'The Scarlet Letter', 'St. Martin's Press', 754, 'A unique and intriguing book, full of wonders and plot', 10, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'german', 'Science, Graphic novel, Parenting', 20, 37),
(11, 3314134019484, 2, 'Gulliver's Travels', 'MIT Press', 197, 'A unique and intriguing book, full of wonders and plot', 6, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'urdu', 'Thriller, Education, Contemporary', 7, 16),
