(1, 1870081925409, 3, 'Don Quixote', 'Macmillan Publishers', 321, 'A unique and intriguing book, full of wonders and plot', 0, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'urdu', 'Classic', 7, 76),
(2, 6514778307049, 4, 'Alice's Adventures in Wonderland', 'Farrar, Straus and Giroux', 141, 'A unique and intriguing book, full of wonders and plot', 16, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'german', 'Anthology', 18, 68),
(3, 1326307260476, 1, 'The Adventures of Huckleberry Finn', 'Canongate Books', 119, 'A unique and intriguing book, full of wonders and plot', 6, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'german', 'Graphic novel', 10, 59),
(4, 1122219117825, 5, 'The Adventures of Tom Sawyer', 'Penguin Canada', 574, 'A unique and intriguing book, full of wonders and plot', 15, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'japanese', 'Romance', 17, 50),
(5, 7308972871210, 2, 'Treasure Island', 'Penguin Random House', 886, 'A unique and intriguing book, full of wonders and plot', 15, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'japanese', 'Religion', 16, 33),
(6, 5694863444373, 3, 'Pride and Prejudice', 'Tor Books', 975, 'A unique and intriguing book, full of wonders and plot', 15, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'spanish', 'Fantasy', 15, 11),
(7, 7610971763037, 2, 'Wuthering Heights', 'Bloomsbury Publishing', 719, 'A unique and intriguing book, full of wonders and plot', 4, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'russian', 'Adventure', 18, 27),
(8, 4210383042161, 3, 'Jane Eyre', 'St. Martin's Press', 862, 'A unique and intriguing book, full of wonders and plot', 1, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'spanish', 'Environmental', 6, 43),
(9, 5114548250060, 2, 'Moby Dick', 'Harvard University Press', 403, 'A unique and intriguing book, full of wonders and plot', 9, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'english', 'Autobiography', 15, 0),
(10, 8979383996661, 2, 'The Scarlet Letter', 'St. Martin's Press', 367, 'A unique and intriguing book, full of wonders and plot', 0, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'urdu', 'Crime', 4, 0),
(11, 7402034872733, 5, 'Gulliver's Travels', 'Penguin Books', 383, 'A unique and intriguing book, full of wonders and plot', 20, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'spanish', 'Science', 20, 39),
(12, 8580061555252, 3, 'The Pilgrim's Progress', 'Pearson Education', 493, 'A unique and intriguing book, full of wonders and plot', 14, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'japanese', 'Business', 16, 44),
(13, 7124935120239, 1, 'A Christmas Carol', 'University of Chicago Press', 466, 'A unique and intriguing book, full of wonders and plot', 15, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'greek', 'Suspense', 17, 18),
(14, 7626048483529, 3, 'David Copperfield', 'Wiley', 159, 'A unique and intriguing book, full of wonders and plot', 12, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'greek', 'Biography', 15, 44),
(15, 9270846281976, 5, 'A Tale of Two Cities', 'Oxford University Press', 815, 'A unique and intriguing book, full of wonders and plot', 12, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'french', 'Sociology', 15, 20),
(16, 3532014429299, 2, 'Little Women', 'Wiley', 948, 'A unique and intriguing book, full of wonders and plot', 18, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'russian', 'Science fiction', 19, 41),
(17, 4875385949604, 5, 'Great Expectations', 'Blackwell Publishing', 708, 'A unique and intriguing book, full of wonders and plot', 9, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'chinese', 'Horror', 17, 64),
(18, 9722994182787, 4, 'The Hobbit, or, There and Back Again', 'Vintage Books', 487, 'A unique and intriguing book, full of wonders and plot', 8, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'italian', 'Self-help', 19, 72),
(19, 6970230199993, 1, 'Frankenstein, or, the Modern Prometheus', 'Scholastic Corporation', 127, 'A unique and intriguing book, full of wonders and plot', 10, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'chinese', 'Self-help', 18, 13),
(20, 7853724465539, 3, 'Oliver Twist', 'University of Chicago Press', 720, 'A unique and intriguing book, full of wonders and plot', 10, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'english', 'Nature', 17, 82),
(21, 9365704209194, 2, 'Uncle Tom's Cabin', 'Pan Macmillan', 916, 'A unique and intriguing book, full of wonders and plot', 14, 'https://hotemoji.com/images/dl/1/orange-book-emoji-by-twitter.png', 'spanish', 'Politics', 15, 76),
